time	y1	y2
0.000000	2.000000	1.000000
0.200000	2.016996	1.295209
0.400000	2.014302	1.597270
0.600000	1.991801	1.884796
0.800000	1.956062	2.138984
1.000000	1.916037	2.347320
1.200000	1.878580	2.504257
1.400000	1.846369	2.609848
1.600000	1.818275	2.667985
1.800000	1.790889	2.685040
2.000000	1.760078	2.668926
2.200000	1.722060	2.628427
2.400000	1.673893	2.572677
2.600000	1.613529	2.510793
2.800000	1.539615	2.451646
3.000000	1.451215	2.403726
3.200000	1.347592	2.375000
3.400000	1.228095	2.372642
3.600000	1.092196	2.402518
3.800000	0.939687	2.468432
4.000000	0.771054	2.571255
4.200000	0.587944	2.708296
4.400000	0.393591	2.873337
4.600000	0.192948	3.057600
4.800000	-0.007561	3.251440
5.000000	-0.200538	3.446143
5.200000	-0.378003	3.635232
5.400000	-0.531475	3.815022
5.600000	-0.651720	3.984592
5.800000	-0.728382	4.145498
6.000000	-0.749717	4.301398
6.200000	-0.702749	4.457598
6.400000	-0.574444	4.620080
6.600000	-0.355132	4.793036
6.800000	-0.045434	4.973707
7.000000	0.335230	5.145713
7.200000	0.747584	5.277667
7.400000	1.146050	5.333383
7.600000	1.495593	5.286556
7.800000	1.775238	5.128100
8.000000	1.971369	4.867086
8.200000	2.074514	4.530652
8.400001	2.084769	4.160129
8.600000	2.017430	3.799027
8.800000	1.898348	3.479213
9.000000	1.752389	3.216000
9.200000	1.595860	3.012515
9.400001	1.436073	2.866351
9.600000	1.274362	2.773939
9.800000	1.109188	2.732159
10.000000	0.938251	2.738207
10.200000	0.759730	2.788712
10.400001	0.573005	2.878822
10.600000	0.379056	3.001748
10.800000	0.180582	3.149029
11.000000	-0.018169	3.311478
11.200000	-0.211740	3.480421
11.400001	-0.393794	3.648778
11.600000	-0.557239	3.811696
11.800000	-0.694117	3.966738
12.000000	-0.795330	4.113785
12.200000	-0.850366	4.254850
12.400001	-0.847182	4.393862
12.600000	-0.772514	4.536300
12.800000	-0.613358	4.688138
13.000000	-0.361079	4.852851
13.200000	-0.019472	5.025277
13.400001	0.386513	5.184595
13.600000	0.812434	5.295067
13.800000	1.211476	5.319610
14.000000	1.550570	5.235071
14.200000	1.810623	5.037992
14.400001	1.979316	4.744638
14.600000	2.050470	4.389462
14.800000	2.030626	4.017562
15.000000	1.941139	3.670094
15.200000	1.809396	3.372823
15.400001	1.657670	3.135568
15.600000	1.498620	2.958507
15.800000	1.336866	2.838293
16.000000	1.172385	2.771255
16.200001	1.003277	2.754152
16.400000	0.827507	2.783627
16.600000	0.643901	2.855287
16.800001	0.452712	2.963009
17.000000	0.255869	3.098891
17.200001	0.056930	3.253911
17.400000	-0.139195	3.419066
17.600000	-0.326595	3.586536
17.800001	-0.498573	3.750497
18.000000	-0.647626	3.907478
18.200001	-0.765226	4.056366
18.400000	-0.841536	4.198245
18.600000	-0.865202	4.336202
18.800001	-0.823427	4.475080
19.000000	-0.702778	4.620848
19.200001	-0.491883	4.778675
19.400000	-0.187709	4.948239
19.600000	0.195003	5.116350
19.800001	0.619117	5.252872
20.000000	1.036071	5.318972
